winner,year,player1,ID1,player2,ID2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Rafael Nadal,2009,Rafael Nadal,Nadal.jpeg,Roger Federer,Federer.jpeg,64%,52%,4,11,4,6,66%,73%,48%,45%,44%,32%,40%,41%,173,174,50,71,41,64,58%,72%
Roger Federer,2010,Roger Federer,Federer.jpeg,Andy Murray,Andy.jpeg,66%,57%,11,10,2,4,72%,69%,61%,51%,33%,25%,37%,32%,116,100,46,29,42,36,72%,61%
Novak Djokovic,2011,Novak Djokovic,Novak.jpeg,Andy Murray,Andy.jpeg,67%,53%,6,6,0,4,70%,64%,60%,31%,39%,75%,51%,33%,106,78,26,21,33,47,64%,39%
Novak Djokovic,2012,Novak Djokovic,Novak.jpeg,Rafael Nadal,Nadal.jpeg,59%,67%,9,10,2,4,68%,66%,63%,45%,35%,67%,41%,34%,193,176,57,44,69,71,74%,84%
Novak Djokovic,2013,Novak Djokovic,Novak.jpeg,Andy Murray,Andy.jpeg,63%,60%,8,7,3,5,75%,81%,66%,46%,27%,0%,33%,28%,139,126,47,29,61,46,85%,60%
Roger Federer,2004,Roger Federer,Federer.jpeg,Marat Safin,Marat.jpeg,53%,49%,8,3,2,5,75%,63%,60%,47%,28%,67%,45%,32%,113,93,40,19,28,41,68%,55%
Marat Safin,2005,Marat Safin,Marat.jpeg,Lleyton Hewitt,Lleyton.jpeg,60%,49%,18,7,1,3,73%,70%,57%,52%,36%,38%,39%,34%,122,113,54,33,36,22,60%,59%
Roger Federer,2006,Roger Federer,Federer.jpeg,Marcos Baghdatis,Marcos.jpeg,53%,48%,11,6,6,2,71%,71%,51%,37%,67%,30%,46%,38%,142,116,50,34,48,48,78%,52%
Roger Federer,2007,Roger Federer,Federer.jpeg,Fernando Gonzalez,Fernando.jpeg,58%,61%,5,6,1,3,82%,69%,78%,46%,30%,100%,40%,20%,120,93,45,31,19,28,79%,64%
Novak Djokovic,2008,Novak Djokovic,Novak.jpeg,Jo-Wilfried Tsonga,JoWilfried.jpeg,56%,71%,11,15,2,2,78%,71%,63%,48%,33%,40%,36%,29%,136,122,46,44,35,41,79%,52%
Stanislas Wawrinka,2014,Stanislas Wawrinka,Stanislas.jpeg,Rafael Nadal,Nadal.jpeg,55%,78%,19,1,2,3,87%,60%,51%,42%,33%,33%,44%,29%,116,88,53,19,49,32,92%,63%
