round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Rafael Nadal,7-5 3-6 7-6(3) 3-6 6-2,2009,m,Rafael Nadal,Roger Federer,ESP,SUI,64%,52%,4,11,4,6,66%,73%,48%,45%,196,204,179,183,143,156,44%,32%,40%,41%,173,174,50,71,41,64,58%,72%
Final,Roger Federer,6-3 6-4 7-6(11),2010,m,Roger Federer,Andy Murray,SUI,GBR,66%,57%,11,10,2,4,72%,69%,61%,51%,209,214,191,196,153,151,33%,25%,37%,32%,116,100,46,29,42,36,72%,61%
Final,Novak Djokovic,6-4 6-2 6-3,2011,m,Novak Djokovic,Andy Murray,SRB,GBR,67%,53%,6,6,0,4,70%,64%,60%,31%,208,216,192,194,0,0,39%,75%,51%,33%,106,78,26,21,33,47,64%,39%
Final,Novak Djokovic,5-7 6-4 6-2 6-7(5) 7-5,2012,m,Novak Djokovic,Rafael Nadal,SRB,ESP,59%,67%,9,10,2,4,68%,66%,63%,45%,202,204,190,183,150,136,35%,67%,41%,34%,193,176,57,44,69,71,74%,84%
Final,Novak Djokovic,6-7(2) 7-6(3) 6-3 6-2,2013,m,Novak Djokovic,Andy Murray,SRB,GBR,63%,60%,8,7,3,5,75%,81%,66%,46%,209,211,188,186,155,133,27%,0%,33%,28%,139,126,47,29,61,46,85%,60%
Final,Roger Federer,7-6(3) 6-4 6-2,2004,m,Roger Federer,Marat Safin,SUI,RUS,53%,49%,8,3,2,5,75%,63%,60%,47%,201,209,178,187,140,140,28%,67%,45%,32%,113,93,40,19,28,41,68%,55%
Final,Marat Safin,1-6 6-3 6-4 6-4,2005,m,Marat Safin,Lleyton Hewitt,RUS,AUS,60%,49%,18,7,1,3,73%,70%,57%,52%,215,202,201,183,148,148,36%,38%,39%,34%,122,113,54,33,36,22,60%,59%
Final,Roger Federer,5-7 7-5 6-0 6-2,2006,m,Roger Federer,Marcos Baghdatis,SUI,CYP,53%,48%,11,6,6,2,71%,71%,51%,37%,209,217,185,197,146,146,67%,30%,46%,38%,142,116,50,34,48,48,78%,52%
Final,Roger Federer,7-6(2) 6-4 6-4,2007,m,Roger Federer,Fernando Gonzalez,SUI,CHI,58%,61%,5,6,1,3,82%,69%,78%,46%,,,,,,,30%,100%,40%,20%,120,93,45,31,19,28,79%,64%
Final,Novak Djokovic,4-6 6-4 6-3 7-6(2),2008,m,Novak Djokovic,Jo-Wilfried Tsonga,SRB,FRA,56%,71%,11,15,2,2,78%,71%,63%,48%,209,218,192,189,147,147,33%,40%,36%,29%,136,122,46,44,35,41,79%,52%
Final,Stanislas Wawrinka,6-3 6-2 3-6 6-3,2014,m,Stanislas Wawrinka,Rafael Nadal,SUI,ESP,55%,78%,19,1,2,3,87%,60%,51%,42%,217,200,192,162,134,134,33%,33%,44%,29%,116,88,53,19,49,32,92%,63%
